Objects
30
,,Global Angle tSphere:tSphere,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
104,0,-1.84364,-6.01904,1.46687,-1494.42,218.789,76.0753
105,0,-3.0895,-5.39235,1.64644,-1476.1,219.928,74.36
106,0,0.123602,-2.88161,0.123867,-1459.75,221.282,78.751
107,0,0.126861,-2.71009,0.111724,-1442.68,221.633,78.6857
108,0,0.127791,-2.5457,0.0896807,-1425.78,221.279,79.1352
109,0,0.130656,-2.39739,0.0630759,-1407.99,220.629,79.8969
110,0,0.132786,-2.31605,0.0245879,-1389.98,219.582,82.1296
111,0,0.125762,-2.24942,-0.00640742,-1371.27,219.386,83.9032
112,0,0.140679,-1.86896,0.0345906,-1359.44,219.745,81.6125
113,0,0.130658,-1.71186,0.0392924,-1343.22,221.227,81.5315
114,0,0.117192,-1.60389,0.0429773,-1326.57,223.793,81.6331
115,0,0.0900155,-1.38934,0.0605714,-1311.25,226.414,80.8134
116,0,0.071065,-1.32602,0.0753971,-1294.94,229.864,80.3541
117
118,0,0.01446,-0.936751,0.102649,-1266.85,236.965,78.3892
119,0,-0.00616542,-0.889388,0.113642,-1251.88,238.173,77.3724
120,0,-0.0184562,-0.814194,0.134204,-1238.12,239.672,76.1349
121,0,0.290497,-3.68333,0.164788,-1222.98,241.803,77.1415
122
123
124,0,-0.0147225,-0.0696844,0.125929,-1181.26,242.8,81.1744
125,0,-0.00458578,0.0402073,0.120638,-1165.63,242.878,81.4513
126,0,0.00864574,0.134425,0.116942,-1150.01,241.52,82.0464
127,0,0.0317998,0.374002,0.118901,-1135.22,240.991,85.568
128,0,0.0423599,0.515209,0.117732,-1119.91,240.795,86.2942
129,0,0.0550604,0.62736,0.114209,-1104.24,240.907,87.6731
130,0,0.0576525,0.748598,0.109814,-1088.78,241.688,88.2194
131,0,0.0718527,0.809047,0.0930773,-1070.8,243.524,89.5991
132,0,0.0769643,0.872181,0.0735127,-1053.32,245.729,90.251
133,0,0.17104,-1.83862,0.00590614,-1043.83,248.553,86.4854
134,0,0.144193,-1.76689,0.00839048,-1025.76,252.131,86.2699
135,0,0.114101,-1.64302,0.0241369,-1008.87,255.342,84.8371
136,0,0.0947946,-1.38248,0.0675381,-995.839,258.914,82.1952
137,0,0.07469,-1.25054,0.0639552,-977.392,261.095,82.8825
138,0,0.0550488,-1.07539,0.072306,-960.294,263.707,81.956
139,0,0.0389578,-0.88822,0.092006,-944.947,266.694,80.2701
140
141
142
143
144
145,0,0.0294207,0.10745,0.088102,-841.059,271.305,81.904
146,0,0.0332161,0.279331,0.0900345,-823.816,271.548,82.0734
147,0,0.0320544,0.449191,0.092317,-806.952,272.154,82.299
148,0,0.195866,-2.44723,0.00871891,-790.239,273.911,81.6517
149,0,0.180664,-2.30651,0.0110919,-773.021,275.242,82.1747
150,0,0.162236,-2.18205,0.0218276,-756.003,277.793,82.0846
151,0,0.139795,-2.01696,0.0423175,-739.534,280.961,81.5288
152,0,0.116235,-1.90926,0.06798,-722.594,284.949,80.5733
153,0,0.0877538,-1.70173,0.0932511,-707.571,288.7,79.7906
154,0,0.0667918,-1.54413,0.112158,-691.885,292.108,79.3269
155,0,0.0567348,-1.4383,0.124729,-675.457,294.841,79.1133
156,0,0.0453766,-1.23136,0.127712,-660.748,296.644,79.4647
157,0,0.0354795,-1.0978,0.145105,-646.402,298.05,77.3495
158,0,0.0385716,-0.973522,0.139567,-630.378,298.507,77.7399
159,0,0.0498887,-0.815761,0.133021,-614.822,298.639,78.788
160,0,0.0687821,-0.614149,0.13343,-600.697,297.975,80.5891
161,0,0.0805632,-0.501447,0.126722,-584.828,296.592,81.0698
162,0,0.0927095,-0.386657,0.122338,-568.842,295.623,81.7933
163,0,0.105787,-0.230828,0.110952,-553.68,295.394,84.0195
164,0,0.10575,-0.120285,0.106167,-537.738,295.892,84.5455
165,0,0.0974654,0.0693341,0.0959051,-522.584,297.71,85.3094
166,0,0.203881,-2.8336,-0.0872379,-507.025,300.026,87.3371
167,0,0.1833,-2.7101,-0.0633116,-490.658,302.969,86.7125
168,0,0.165785,-2.56977,-0.0353786,-475.509,306.594,86.4908
169,0,-0.0525375,-5.4461,-0.286014,-460.86,310.572,84.517
170,0,0.112476,-5.32097,-0.190678,-446.629,314.535,84.5024
171,0,0.215468,-5.18291,-0.0940076,-431.837,317.549,84.4647
172,0,0.345132,-8.24803,0.339628,-416.528,319.692,83.7198
173,0,0.317999,-8.09695,0.398314,-401.017,321.593,83.27
174,0,0.324358,-7.93865,0.434694,-385.256,322.647,82.982
175,0,0.367091,-7.77659,0.44677,-369.238,322.908,82.801
176,0,0.45998,-7.60925,0.435078,-352.804,322.405,83.0302
177,0,0.595639,-7.43839,0.405722,-336.147,321.462,83.5303
178,0,0.771263,-7.25648,0.383479,-319.132,320.437,84.1312
179,0,0.964203,-7.06448,0.37004,-302.116,319.876,84.8114
180,0,1.20793,-6.8642,0.377868,-285.146,319.689,85.2805
181,0,1.21378,-6.75235,0.482021,-268.741,320.146,82.6698
182,0,1.54562,-6.51416,0.546468,-251.567,320.788,82.5626
183,0,2.18616,-6.14114,0.702977,-234.337,321.699,82.2462
184,0,5.77874,-2.05328,1.75978,-217.912,323.626,83.0221
185,0,0.073625,0.134916,0.0203251,-200.826,325.13,82.6533
186,0,0.0558459,0.300215,0.0120631,-183.98,326.898,82.1176
187,0,0.0480692,0.458695,-0.00379623,-166.061,328.328,83.4292
188,0,0.0224128,0.629416,-0.0146736,-149.922,330.918,82.7967
189,0,-0.00151288,0.790783,-0.0196613,-135.084,332.862,82.688
190,0,-0.0184399,0.949698,-0.0235556,-120.303,334.124,82.4717
191,0,-0.0209351,1.08557,-0.0233813,-105.296,334.247,82.7435
192,0,-0.0171117,1.22638,-0.0141477,-90.8032,333.197,83.1232
193,0,-0.00634446,1.36592,0.00164646,-76.4287,331.316,83.842
194,0,0.00648571,1.50865,0.0220606,-62.0329,329.121,84.6557
195,0,0.0195111,1.66935,0.0408821,-47.189,327.207,85.5366
196,0,0.0286438,1.80728,0.0605149,-32.6134,325.372,86.2149
197,0,0.0355185,1.95206,0.0768173,-17.7374,323.918,86.372
198,0,0.0411141,2.10375,0.0898932,-2.31055,322.893,86.1207
199,0,0.137189,-0.87992,-0.0529855,12.314,323.051,84.9571
200,0,0.135485,-0.724296,-0.0600442,28.4261,322.53,85.1522
201,0,0.125864,-0.580316,-0.0661565,44.8384,322.09,85.055
202,0,-0.0702393,-3.60618,-0.103202,61.9543,322.152,84.2763
203,0,-0.0687581,-3.45225,-0.0729755,78.3364,322.865,83.8386
204,0,-0.0689422,-3.29512,-0.0377065,94.8349,324.281,83.1379
205,0,0.0569368,0.0771601,-0.0925988,111.159,326.499,84.1648
206,0,0.0272806,0.230181,-0.0993032,127.529,328.832,83.3623
207,0,-0.000223497,0.400373,-0.104787,143.395,330.577,82.3929
208,0,-0.0198042,0.556389,-0.109889,159.231,331.623,82.0609
209,0,-0.0330683,0.714175,-0.114204,175.073,332.039,81.7359
210,0,-0.0395075,0.872786,-0.1156,190.853,331.819,81.541
211,0,-0.0520797,-2.15179,0.0713419,205.911,331.197,80.7348
212,0,-0.0365055,-1.9977,0.0572462,221.635,329.447,80.8463
213,0,-0.0154321,-1.8422,0.0368994,237.52,326.875,81.134
214,0,0.0117411,-1.68167,0.0117011,253.64,323.475,81.5355
215,0,0.0455003,-1.52062,-0.0242445,269.927,319.781,82.0403
216,0,0.0706526,-1.35533,-0.0443657,287.129,315.486,83.4532
217,0,0.0932204,-1.19191,-0.0680383,304.148,311.912,84.2463
218,0,0.107514,-1.02879,-0.0845468,321.366,309.25,84.7978
219,0,0.113906,-0.86407,-0.0973179,338.748,307.309,85.1309
220,0,0.113816,-0.698018,-0.108131,356.183,305.925,85.1244
221,0,0.105086,-0.547198,-0.117441,373.778,304.942,84.5188
222,0,0.0981933,-0.365776,-0.125519,390.993,304.75,84.1663
223,0,0.0826004,-0.201199,-0.134222,408.39,304.889,83.0669
224,0,0.0647839,-0.0333516,-0.144976,425.61,305.575,81.4059
225,0,0.0387903,0.0959387,-0.153737,442.183,306.485,79.3465
226,0,0.0116116,0.306014,-0.161541,460.406,307.589,78.0895
